ym,hot_nogi,hot_sisl,vhot_nogi,vhot_sisl,ehot_nogi,ehot_sisl,trop_nogi,trop_sisl,germ_nogi,germ_sisl,tmax_nogi,tmax_sisl,hot_gg,vhot_gg,ehot_gg,tmax_gg,hot_gw,vhot_gw,ehot_gw,tmax_gw,hot_gb,vhot_gb,ehot_gb,tmax_gb,hot_cn,vhot_cn,ehot_cn,tmax_cn
2015-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.118694598765433,13.638524407022178,0.0,0.0,0.0,12.902666666666667,0.0,0.0,0.0,10.945333333333334,0.0,0.0,0.0,13.726666666666667,0.0,0.0,0.0,13.7675
2015-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.781777031063322,7.348437957681594,0.0,0.0,0.0,6.280645161290322,0.0,0.0,0.0,4.556774193548387,0.0,0.0,0.0,7.4430107526881715,0.0,0.0,0.0,7.574999999999999
2016-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5375681003584227,2.8871348888072275,0.0,0.0,0.0,1.9761290322580645,0.0,0.0,0.0,0.4993548387096774,0.0,0.0,0.0,3.5569892473118276,0.0,0.0,0.0,2.8951612903225805
2016-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.113446360153256,6.351634301719868,0.0,0.0,0.0,5.857931034482759,0.0,0.0,0.0,4.046206896551724,0.0,0.0,0.0,7.2701149425287355,0.0,0.0,0.0,6.156896551724138
2016-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.915416666666665,13.053657777990807,0.0,0.0,0.0,13.359354838709677,0.0,0.0,0.0,11.053548387096773,0.0,0.0,0.0,14.204301075268816,0.0,0.0,0.0,12.735483870967743
2016-04,0.11416666666666667,0.05081723625557207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.476533950617284,20.512617027131142,0.2,0.0,0.0,21.381999999999998,0.2,0.0,0.0,19.344666666666665,0.0,0.0,0.0,21.36777777777778,0.0,0.0,0.0,20.143333333333334
2016-05,3.279444444444444,2.558923559517913,0.043888888888888894,0.0014858841010401188,0.0,0.0,0.01759259259259259,0.01502393924385009,0.0,0.0,25.350212066905613,25.233432392273404,4.6,0.0,0.0,25.893548387096775,2.8,0.2,0.0,24.625806451612902,4.666666666666667,0.0,0.0,26.732258064516127,1.5,0.0,0.0,24.829032258064515
2016-06,8.010740740740742,6.301370315337626,0.16527777777777777,0.06240713224368499,0.0,0.0,6.092546296296296,5.565610037972594,2.413333333333333,1.4564305761928347,27.9145412037037,27.80123212811623,10.6,0.0,0.0,29.008666666666663,7.2,0.0,0.0,27.157333333333334,12.666666666666666,1.0,0.0,28.938888888888886,3.5,0.0,0.0,27.3525
2016-07,15.917453703703702,16.580865114743276,4.817546296296296,3.783308568598316,0.2708333333333333,0.15255076770678555,24.466805555555553,26.496631996037642,17.197407407407407,18.620274063067527,29.57756406810036,29.842384284778475,17.2,5.0,0.0,29.928387096774195,11.6,3.6,0.0,28.13806451612903,20.666666666666668,10.0,1.0,30.910752688172042,16.25,2.25,0.0,29.778225806451616
2016-08,23.560555555555553,24.994551758296186,18.202037037037037,17.94726762423642,7.603009259259259,5.242281657586265,23.558287037037037,25.33899620274063,23.04685185185185,24.928908700676903,31.947103345280766,32.175063882364846,25.0,21.4,8.0,32.44451612903226,18.2,13.2,5.0,30.02193548387097,25.0,23.333333333333332,18.0,33.383870967741935,25.0,15.5,2.25,31.92258064516129
2016-09,2.446898148148148,2.8038798084860495,0.0,0.0,0.0,0.0,5.862962962962964,5.587221396731056,1.3076851851851852,1.508865775136206,26.36654922839506,26.855611303725713,3.4,0.0,0.0,27.663999999999998,0.8,0.0,0.0,24.421333333333333,2.6666666666666665,0.0,0.0,25.888888888888886,2.75,0.0,0.0,26.8025
2016-10,0.029861111111111113,0.11812778603268945,0.0,0.0,0.0,0.0,0.29537037037037034,0.2621759947168565,0.01759259259259259,0.01502393924385009,20.38461663679809,20.73651541538183,0.0,0.0,0.0,21.03741935483871,0.0,0.0,0.0,18.601935483870967,0.0,0.0,0.0,20.466666666666665,0.25,0.0,0.0,20.636290322580646
2016-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.149524537037038,12.607973309118925,0.0,0.0,0.0,11.924,0.0,0.0,0.0,10.108,0.0,0.0,0.0,12.845555555555556,0.0,0.0,0.0,12.664166666666667
2016-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.731571385902031,7.331176191769587,0.0,0.0,0.0,6.133548387096774,0.0,0.0,0.0,4.488387096774194,0.0,0.0,0.0,7.504301075268818,0.0,0.0,0.0,7.553225806451613
