ym,county,month,qty_all,qty_main,price_main,price_all,jjong_share,sokum_share,qty_next_chg,price_next_chg,jjong_share_adj,sokum_share_adj,qty_next_chg_adj,price_next_chg_adj
2022-08,무주군,8,2539.0,2387.0,4576.127643066611,4506.70212051989,3.938558487593541,0.0,-0.7495911942808258,-0.12142511028229386,-0.4016065399055373,0.0,0.1753100083752933,-0.27860663127915597
2022-09,무주군,9,1532.0,1128.0,4052.8812074468087,3456.233682767624,3.6553524804177546,0.0,-0.4531255914583845,-0.7706148429088673,-8.52196452606546,0.0,-0.3957477308068338,-0.4922976765414012
2022-10,무주군,10,1001.3,717.0,1875.3835425383543,1612.5037451313294,7.220613202836312,0.0,-0.7790180898342483,-0.5569874599528442,0.7081045336724783,0.0,-0.3613120922130486,-0.06822613459757243
2022-11,무주군,11,381.0,329.0,1074.468085106383,1033.5958005249345,2.099737532808399,0.0,-1.008566007983326,0.15131781674295386,-7.416811995440895,0.0,-0.020333612828644543,0.5949458616607092
2022-12,무주군,12,124.0,120.0,1250.0,1274.1935483870968,0.0,0.0,-0.14310084364067333,0.8628899551470397,0.0,0.0,1.5341161819893658,0.6759837873850004
2023-01,무주군,1,104.0,104.0,2962.5,2962.5,0.0,0.0,-0.485507815781701,-0.10853009041910511,0.0,0.0,-1.7341958777625144,0.49743127034749257
2023-02,무주군,2,64.0,64.0,2657.8125,2657.8125,0.0,0.0,1.9095425048844392,-0.33248689495045003,0.0,0.0,0.8767341503888442,-0.48643195684747165
2023-03,무주군,3,504.0,432.0,1906.0185185185185,1857.5396825396826,0.0,0.0,-0.6747980418917487,-0.16906470832619735,0.0,0.0,-1.5035368669489355,-0.2663137417200213
2023-04,무주군,4,220.0,220.0,1609.5454545454545,1609.5454545454545,0.0,0.0,0.8289487217190068,-0.5921735678549274,0.0,0.0,0.39357350167905597,-0.30252861337290227
2023-05,무주군,5,504.0,504.0,890.2777777777778,890.2777777777778,0.0,0.0,0.8335990160290416,1.0967654069762105,0.0,0.0,-0.10357723002032482,0.5582834391522039
2023-06,무주군,6,1215.0,1160.0,2665.905172413793,2577.3251028806585,4.526748971193416,0.0,0.8158986957664629,0.7262368244269481,3.569724090054859,0.0,-0.05268077761712264,0.2680864855399973
2023-07,무주군,7,3087.0,2623.0,5511.189479222265,5276.174280531261,2.7210884353741496,0.0,-0.355640676951241,-0.3151300633722567,1.5593130611518409,0.0,-0.09909244163277658,-0.5721660930250722
2023-08,무주군,8,2178.0,1838.0,4021.481684439608,3954.2623213957754,15.61065197428834,0.0,-0.2510035796616794,-0.16056935897438862,11.270486946789262,0.0,0.6738976229944397,-0.31775087997125073
2023-09,무주군,9,1536.0,1430.0,3424.9300699300697,3304.1015625,6.901041666666667,0.0,-0.5320278314165936,-0.25199438981034206,-5.276275339816547,0.0,-0.4746499707650429,0.026322776557124006
2023-10,무주군,10,912.0,840.0,2662.0238095238096,2519.5175438596493,7.894736842105263,0.0,-0.028987536873252395,-0.2754554182881028,1.3822281729414287,0.0,0.38871846074794725,0.2133059070671689
2023-11,무주군,11,840.0,816.0,2021.078431372549,1997.6190476190477,2.857142857142857,0.0,-1.000631880307906,-0.15166367877147202,-6.659406671106437,0.0,-0.012399485153224421,0.2919643661462833
2023-12,무주군,12,300.0,300.0,1736.6666666666667,1736.6666666666667,0.0,0.0,-0.8835009090511639,0.015451794980519296,0.0,0.0,0.7937161165788753,-0.17145437278151995
2024-02,무주군,2,124.0,124.0,1763.7096774193549,1763.7096774193549,0.0,0.0,0.609064063349404,-0.28816082609671145,0.0,0.0,-0.42374429114619105,-0.44210588799373307
2024-04,무주군,4,228.0,228.0,1322.1491228070176,1322.1491228070176,0.0,0.0,1.7575553914571902,-0.17702696483139402,0.0,0.0,1.3221801714172394,0.11261798965063108
2024-05,무주군,5,1322.0,1322.0,1107.6399394856278,1107.6399394856278,0.0,0.0,0.35531244278177176,0.36538873973357777,0.0,0.0,-0.5818638032675947,-0.17309322809042882
2024-06,무주군,6,1886.0,1886.0,1596.1912311770943,1596.1912311770943,0.0,0.0,0.7036958015806904,0.681146989037094,-0.957024881138557,0.0,-0.1648836718028951,0.2229966501501432
2024-07,무주군,7,4028.0,3812.0,3154.302203567681,3158.7636544190664,5.06454816285998,0.0,-1.0484739106775027,0.08115335339341101,3.9027727886376713,0.0,-0.7919256753590382,-0.17588267625940446
2024-08,무주군,8,1388.0,1336.0,3420.9580838323354,3344.3083573487033,3.7463976945244957,0.0,-1.6064483735857342,0.628183075128181,-0.5937673329745827,0.0,-0.6815471709296151,0.47100155413131883
2024-09,무주군,9,352.0,268.0,6411.567164179104,5614.488636363636,23.863636363636363,0.0,0.014815085785141235,-0.35754558888864807,11.686319357153149,0.0,0.07219294643669194,-0.07922842252118201
2024-10,무주군,10,288.0,272.0,4484.191176470588,4326.736111111111,5.555555555555555,0.0,0.8773052851612011,-0.5914182967141208,-0.9569531136082787,0.0,1.2950112827824007,-0.1026569713588491
2024-11,무주군,11,702.0,654.0,2482.1865443425077,2562.037037037037,6.837606837606838,0.0,-0.6166392945239023,-1.1943697778742637,-2.6789426906424563,0.0,0.3715931006307792,-0.7507417329565084
2024-12,무주군,12,353.0,353.0,751.8413597733711,751.8413597733711,0.0,0.0,-2.0822784230150355,-0.002452137416591782,0.0,0.0,-0.40506139738499636,-0.18935830517863103
2025-01,무주군,1,44.0,44.0,750.0,750.0,0.0,0.0,0.9694005571881035,-0.06899287148695166,0.0,0.0,-0.2792875047927099,0.536968489279646
2025-03,무주군,3,116.0,116.0,700.0,700.0,0.0,0.0,1.4529857356185634,0.6968126893897004,0.0,0.0,0.6242469105613766,0.5995636559958765
2025-04,무주군,4,496.0,496.0,1405.141129032258,1405.141129032258,0.0,0.0,-0.5436154465889818,-0.10155838600691869,0.0,0.0,-0.9789906666289325,0.1880865684751064
2025-05,무주군,5,288.0,288.0,1269.4444444444443,1269.4444444444443,0.0,0.0,1.4853852637641216,0.7120520310385237,0.0,0.0,0.5482090177147552,0.17357006321451707
2025-06,무주군,6,1324.0,1272.0,2587.3427672955977,2515.9365558912386,3.927492447129909,0.0,0.432354008324495,-0.07381364847875371,2.970467565991352,0.0,-0.43622546505909054,-0.5319639873657045
2025-07,무주군,7,1960.0,1960.0,2403.2397959183672,2403.2397959183672,0.0,0.0,0.11369305040485855,0.21891395973886674,-1.1617753742223087,0.0,0.370241285723323,-0.03812206991394873
2025-08,무주군,8,2264.0,2196.0,2991.370673952641,2948.8295053003535,3.0035335689045937,0.0,-0.25895478281487083,0.6373481555651068,-1.3366314585944847,0.0,0.6659464198412482,0.4801666345682447
2025-09,무주군,9,2187.0,1695.0,5658.053097345132,5268.152720621856,22.496570644718794,0.0,-0.29815958255416497,0.06135224287565855,10.31925363823558,0.0,-0.24078172190261427,0.3396694092431246
2025-10,무주군,10,1466.0,1258.0,6016.057233704292,5280.491132332879,14.188267394270124,0.0,-1.3024677001977807,-1.1820954658692928,7.67575872510629,0.0,-0.884761702576581,-0.6933341405140211
2025-11,무주군,11,438.0,342.0,1844.7368421052631,1950.0,21.91780821917808,0.0,-0.6530271867705197,-0.1777127894350432,12.401258690928787,0.0,0.3352052083841618,0.2659152554827121
2025-12,무주군,12,178.0,178.0,1544.3820224719102,1544.3820224719102,0.0,0.0,-2.186051276738094,0.4816668869950398,0.0,0.0,-0.508834251108055,0.2947607192330005
2026-01,무주군,1,20.0,20.0,2500.0,2500.0,0.0,0.0,2.5649493574615367,-0.5880944045568013,0.0,0.0,1.3162612954807233,0.017866956209796392
