unit,county,eup,qty_t,n_months,active_months,gap_max,winter_share,summer_share,spring_share,autumn_share,cv_month,peak_month,min_share,price,type
장수군·번암면,장수군,번암면,718.5944,99,12,0,6.846031641771772,35.83406717335955,15.800540610948266,17.951434077415577,0.7239270093841766,7,1.7918313863843085,5568.361949369492,시설(추정)
김제시·공덕면,김제시,공덕면,666.0023,96,12,0,30.194340169696115,11.103715407589434,20.157888343628844,9.005524455396026,0.472626252494746,3,3.057647098215727,3618.6040670760444,시설
남원시·인월면,남원시,인월면,655.8127,104,12,0,12.380974018953887,22.002776097504672,22.416308802802998,15.674551590720949,0.4158424288310564,6,3.8257874542533257,4583.879930739372,시설
부안군·(미상),부안군,(미상),578.221,56,12,0,3.0204714114499476,73.9853792926926,3.301159937117469,10.313011806904282,1.8063378825470198,7,0.8946406304855757,4568.080384408384,노지(고랭지)
김제시·용지면,김제시,용지면,554.222,98,12,0,23.230943556914017,13.06083121925871,23.928858832742115,12.087935881289448,0.3054189873717279,4,5.718827473467311,3331.317742619384,시설
익산시·함열읍,익산시,함열읍,339.038,45,12,0,19.735840820203045,14.299282086373797,26.312094809431393,14.252089736253755,0.33767061097841816,5,4.857272636105687,3812.700247287915,시설
진안군·(미상),진안군,(미상),275.748,67,11,1,1.6489693488257395,49.702735831266224,6.705397681941482,27.35457736774156,1.1109426866448622,7,0.20018277557770137,5465.444360684393,노지(고랭지)
진안군·동향면,진안군,동향면,270.3809,71,11,1,4.2617655315149845,39.51296115960854,12.866811228159978,21.336196454705195,0.8618978816917219,7,0.43420226798564543,6611.508886448709,노지(고랭지)
순창군·적성면,순창군,적성면,245.2145,95,12,0,30.913343215837564,6.360349816181344,25.65998340228657,7.396789341576456,0.673020399373792,3,2.4372539144300194,3101.259381064333,시설
남원시·송동면,남원시,송동면,200.41279999999998,99,12,0,39.33680882658193,4.707184371457311,20.653171853294797,6.910736240399814,0.7042598086623739,3,2.21258322821696,2853.803963803709,시설
