variety,wk,산지,물량t,중도매,소매,도매배율,소매배율,소매_중도매,농가몫%,ym
적상추,2026-03-02,1402.6509610879968,44.441300000000005,2896.25,10460.0,2.0648401351063566,7.457307833651269,3.6115666810530858,13.409665019961729,2026-03
적상추,2026-03-09,1657.8095572768696,37.31,2840.6,10247.0,1.713465812482099,6.1810477295304045,3.607336478208829,16.178486945221717,2026-03
적상추,2026-03-16,2079.8851755298865,48.5245,3391.0,9434.4,1.6303784650689115,4.536019637524665,2.7821881450899437,22.045759937355704,2026-03
적상추,2026-03-23,2046.3484052185256,45.99,3485.0,9264.6,1.703033555338219,4.527381542836862,2.6584218077474895,22.08782252033035,2026-03
적상추,2026-03-30,2010.6515073947437,49.427,3323.0,9320.6,1.6526981367873652,4.635611872928172,2.804875112849835,21.572125264411557,2026-03
적상추,2026-04-06,1649.0305576610458,41.215,3177.0,9487.4,1.9265864936464232,5.753319704067068,2.9862763613471826,17.38126944854276,2026-04
적상추,2026-04-13,2881.508238860474,36.913599999999995,3537.0,9472.0,1.2274821748900318,3.287167418874295,2.6779756856092733,30.421328535266827,2026-04
적상추,2026-04-20,3227.4199945501473,39.6341,4089.0,9562.2,1.2669562706139037,2.9628000124392933,2.338517975055026,33.75185621039245,2026-04
적상추,2026-04-27,3420.4358098387847,37.856300000000005,3970.0,9685.0,1.1606708094273863,2.8315105262731075,2.4395465994962215,35.3168385115001,2026-04
적상추,2026-05-04,3163.030246266782,42.58389999999999,4358.75,9291.5,1.3780298197099081,2.9375311889497246,2.1316891310582164,34.04219174801465,2026-05
적상추,2026-05-11,2065.5236332423456,45.6105,3771.0,8858.4,1.825687171673989,4.288694574796304,2.3490851233094667,23.317118590742638,2026-05
적상추,2026-05-18,1365.6776326969755,38.1075,3302.0,8769.8,2.4178473169243646,6.4215740157369146,2.6559055118110235,15.5725060172065,2026-05
적상추,2026-05-25,2075.8821791776986,38.526,3911.25,8870.0,1.884138723879469,4.272882193879422,2.2678171939916907,23.403406755103706,2026-05
적상추,2026-06-01,2525.3790620294767,42.4395,4610.0,9523.75,1.8254685283940124,3.771216029781448,2.065889370932755,26.516645880346257,2026-06
적상추,2026-06-08,2926.512930318912,47.129,5545.0,10397.6,1.8947464549202395,3.5528973380845232,1.875130748422002,28.14604264752358,2026-06
적상추,2026-06-15,2508.744382465651,53.495,5323.0,10617.4,2.1217785427658575,4.2321569603536,1.9946270899868495,23.628613243031733,2026-06
적상추,2026-06-22,2195.2774482513196,50.581,4833.0,10756.6,2.201544048042673,4.899881793332468,2.2256569418580594,20.408655599830052,2026-06
적상추,2026-06-29,3244.5375979037713,63.7335,6232.0,11197.8,1.9207667693622557,3.451277620340928,1.7968228498074452,28.974777169656285,2026-06
적상추,2026-07-06,2755.0523948733826,80.755,6235.0,11464.2,2.263114854585751,4.1611549825087355,1.8386848436246994,24.031789351837745,2026-07
적상추,2026-07-13,5159.562575335786,86.141,7392.5,12089.25,1.4327764984067266,2.3430765347803204,1.6353398714913765,42.67893025072512,2026-07
적상추,2026-07-20,5621.588438391949,72.734,8209.0,14106.6,1.460263427314892,2.50936192761119,1.7184309903764161,39.85076799790133,2026-07
