ym,month,actual,fixed_weight,s_포기찹,s_청상추,s_적상추,s_기타,s_적포기,s_꽃적상추,s_쫑상추,mix_effect
2019-09,9,6220.710085078584,6291.693357237571,0.3915528488435582,0.2815951279036503,0.23024466326481924,0.03304980137652007,0.02214458471766189,0.013785266800380095,0.012969161300457934,-70.98327215898735
2019-10,10,6811.089555153195,6899.810705596931,0.38095300217090544,0.27797418033668586,0.24567829581110115,0.02922479726548532,0.0184501901770044,0.015084753898762937,0.017810576346704205,-88.7211504437364
2019-11,11,3139.9651480432676,3152.0904492605932,0.38607802577297484,0.29954467658835243,0.22825396118891214,0.02288748869168772,0.016942060692060966,0.02242836468719196,0.011301786229969846,-12.125301217325614
2019-12,12,3538.096708846454,3572.2865477014975,0.3699014677119079,0.3008378915644617,0.2589920670835892,0.01891625696459396,0.007032239777144694,0.01941959059922542,0.014818212408938979,-34.18983885504349
2020-01,1,5378.127490228917,5429.042071494062,0.34574046641988826,0.3218886392322363,0.2730908331967545,0.0182846502860857,0.007422364990406095,0.012188125930501031,0.013774237374277062,-50.91458126514499
2020-02,2,1858.0063729513583,1873.7297952488216,0.367256490065813,0.3139578961162207,0.2615367061077266,0.022115089203942295,0.006438124422394177,0.007948325003488101,0.009756046397316242,-15.72342229746323
2020-03,3,2102.2531727388914,2107.0438863449876,0.38210186527900003,0.33141628415004704,0.23193764986251086,0.01717106385581277,0.013477045843408678,0.00453863467914747,0.010997881008357,-4.790713606096233
2020-04,4,1839.6394220210032,1853.2774401639692,0.40699019036685585,0.3273043026676087,0.20916398155511728,0.01961616822129594,0.009027623374757612,0.0045419104353130076,0.012487371774245725,-13.638018142966075
2020-05,5,2030.8264843465051,2026.7012199867966,0.4122748432631577,0.30803418138182986,0.20364509626150462,0.021815802151895564,0.02521658893404902,0.009891468889713706,0.012113794173469824,4.125264359708581
2020-06,6,3224.695810393281,3216.719572920091,0.4096862637790203,0.2820581082063705,0.21909359847223656,0.027347392685972922,0.020653381656378245,0.018288575835160754,0.012322743213023239,7.97623747318994
2020-07,7,4865.906005446966,4849.812158445376,0.4062861124469936,0.28627613182661305,0.20586209394944419,0.027065827226587336,0.019259971729884466,0.029657697624093877,0.011557644812885803,16.093847001590802
2020-08,8,8568.735474160098,8655.035889924964,0.403340067070799,0.31321605624890747,0.1770900005394555,0.029157434457733302,0.022925507680306247,0.0210585773919155,0.014980021684489864,-86.30041576486656
2020-09,9,5478.443178422671,5536.571428428372,0.41585850268206254,0.2935078700126793,0.1778026428004811,0.02973394787553781,0.02417839717401877,0.025549353597223646,0.016180621840733784,-58.128250005701375
2020-10,10,1835.7552031161215,1820.3754545795125,0.4386569761205917,0.2819614197087115,0.17470229926614228,0.030366424728263744,0.03346220337388128,0.025196444821996056,0.007074164670143233,15.379748536608986
2020-11,11,1875.9238731409284,1867.1978889710017,0.41857698417770406,0.3160204251679388,0.17952358455985745,0.02224364451751862,0.025174486162391024,0.02181719147323768,0.00677379478257599,8.725984169926733
2020-12,12,3345.0564787700873,3340.3778007651904,0.3973832608246435,0.3052012912511475,0.22228488519288161,0.017794313907873983,0.024112070937929865,0.013668160421390626,0.010426182682010846,4.678678004896938
2021-01,1,4910.721923255035,4927.179089506519,0.3807682752183424,0.2915673517215723,0.2578714323048953,0.015186511725462747,0.02727715764432475,0.008575548284284069,0.009684900198316004,-16.457166251483613
2021-02,2,2843.6005092067708,2837.6016401901757,0.4119621715547073,0.2869066193336869,0.23541450197776106,0.017400904447602887,0.015917006511863827,0.014427739914996913,0.008705820884929298,5.998869016595108
