county,market,month,rel,n,qty
무주군,광주서부,7,0.6788827248388519,27,848.0
무주군,광주서부,8,0.9430168173204416,25,1289.0
무주군,광주서부,9,0.9698329796660561,21,670.0
무주군,광주서부,10,0.8833374317768846,15,389.0
무주군,대전노은,7,0.6891932211602046,15,1444.0
무주군,대전오정,6,1.0103746409594885,16,1693.0
무주군,대전오정,7,1.0830719911590592,57,8780.0
무주군,대전오정,8,1.1317097325561305,43,5321.0
무주군,대전오정,9,0.9601351389982639,30,2310.0
무주군,대전오정,10,1.0224546572350883,23,1362.0
무주군,대전오정,11,0.9509265992573629,14,736.0
부안군,서울가락,7,0.9377690920025464,32,37986.0
부안군,서울가락,8,0.92986038773603,30,25176.0
부안군,서울가락,9,0.889753195918239,18,12440.0
부안군,익산,7,1.0928618256824199,11,3752.0
부안군,인천남촌,1,1.0370265972566968,11,3336.0
부안군,인천남촌,3,1.0581429561630225,13,2524.0
부안군,인천남촌,4,0.9087341140136073,13,3444.0
부안군,인천남촌,5,0.8906149009754969,10,3252.0
부안군,인천남촌,6,1.1587926163608304,20,13912.0
부안군,인천남촌,7,1.0408918573851969,52,114642.0
부안군,인천남촌,8,0.999032734496833,51,43704.0
부안군,인천남촌,9,1.0119466343956927,24,13460.0
부안군,인천남촌,10,0.9859159138443473,13,2216.0
부안군,인천남촌,12,1.0211096219197082,11,3108.0
부안군,인천삼산,1,0.9112443947036418,10,1520.0
부안군,인천삼산,3,1.1059707665499892,14,2388.0
부안군,인천삼산,4,1.0236663140253226,13,3920.0
부안군,인천삼산,5,1.013042204623377,10,5652.0
부안군,인천삼산,6,0.9685467964060154,20,21208.0
부안군,인천삼산,7,0.9494148846942567,58,151417.0
부안군,인천삼산,8,0.9868914643649338,49,71015.0
부안군,인천삼산,9,1.0189145524171461,28,35636.0
부안군,인천삼산,10,1.0067706135362817,13,3016.0
부안군,인천삼산,12,0.9449940368684565,11,1740.0
순창군,광주각화,1,1.0285286636738757,67,127178.3
순창군,광주각화,2,0.9908543832292247,70,155764.0
순창군,광주각화,3,1.0530240218658586,87,220736.0
순창군,광주각화,4,1.0167860813869185,90,211428.0
순창군,광주각화,5,0.9508911033814681,108,166279.5
순창군,광주각화,6,0.9538723696644588,110,106697.0
순창군,광주각화,7,0.8969145245446256,88,55952.7
순창군,광주각화,8,0.923342777336949,72,34634.5
순창군,광주각화,9,0.9521184803577447,65,34408.0
순창군,광주각화,10,0.9702818321610669,69,50688.0
순창군,광주각화,11,0.9790920195832338,71,71951.0
순창군,광주각화,12,1.0002321470053932,63,90728.0
순창군,광주서부,1,0.9669492221616176,67,56057.8
순창군,광주서부,2,0.9270215709985088,71,52274.0
순창군,광주서부,3,0.9109278500130679,87,63072.0
순창군,광주서부,4,0.9397322562649829,90,61223.0
순창군,광주서부,5,1.0091244091819254,107,74238.5
순창군,광주서부,6,1.0420731807346506,110,84609.5
순창군,광주서부,7,1.0923308027927792,91,70711.8
순창군,광주서부,8,1.0310250619259032,74,56116.1
순창군,광주서부,9,1.0554317613229685,68,44432.0
순창군,광주서부,10,1.0103893080075317,70,45679.0
순창군,광주서부,11,0.9685578574499917,68,42064.0
순창군,광주서부,12,0.951422076130206,64,39669.0
완주군,광주각화,1,0.8409065649195164,146,789284.8
완주군,광주각화,2,0.8625932952278526,139,789554.0
완주군,광주각화,3,0.9349572677511316,146,932582.5
완주군,광주각화,4,0.9191338728103727,141,855098.0
