date,market_nm,market_cd,crop,county,qty
2026-08-06,광주서부,240004,열무,순창군,0.0
2026-08-06,광주각화,240001,쌈추,장수군,0.0
2026-08-06,광주서부,240004,건고추,순창군,0.0
2026-08-06,광주각화,240001,쌈추,장수군,0.0
2026-08-06,광주서부,240004,건고추,순창군,0.0
2026-08-06,광주각화,240001,쌈추,장수군,0.0
2026-08-06,진주,380401,풋고추,장수군,0.0
2026-08-06,광주서부,240004,건고추,순창군,0.0
2026-08-06,광주서부,240004,건고추,순창군,0.0
2026-08-06,광주각화,240001,상추,장수군,0.0
2026-08-06,진주,380401,풋고추,장수군,0.0
2026-08-06,광주각화,240001,상추,장수군,0.0
2026-08-06,광주각화,240001,상추,장수군,0.0
2026-08-06,진주,380401,풋고추,장수군,0.0
2026-08-06,광주각화,240001,상추,장수군,0.0
2026-08-06,진주,380401,풋고추,장수군,0.0
2026-08-06,광주각화,240001,상추,장수군,0.0
2026-08-06,광주각화,240001,상추,장수군,0.0
2026-08-06,광주각화,240001,상추,남원시,0.0
2026-08-06,진주,380401,풋고추,장수군,0.0
2026-08-06,진주,380401,풋고추,장수군,0.0
2026-08-06,광주각화,240001,상추,장수군,0.0
2026-08-06,광주각화,240001,상추,남원시,0.0
2026-08-06,광주각화,240001,상추,남원시,0.0
2026-08-06,광주각화,240001,상추,남원시,0.0
2026-08-06,광주각화,240001,상추,남원시,0.0
2026-08-06,광주각화,240001,상추,남원시,0.0
2026-08-06,광주각화,240001,상추,남원시,0.0
2026-08-06,광주각화,240001,상추,남원시,0.0
2026-08-06,광주각화,240001,상추,남원시,0.0
2026-08-06,광주각화,240001,상추,남원시,0.0
2026-08-06,광주각화,240001,상추,남원시,0.0
2026-08-06,광주각화,240001,상추,장수군,0.0
2026-08-06,광주각화,240001,상추,장수군,0.0
2026-08-06,광주각화,240001,상추,남원시,0.0
2026-08-06,광주각화,240001,상추,장수군,0.0
2026-08-06,광주각화,240001,상추,남원시,0.0
2026-08-06,광주각화,240001,상추,남원시,0.0
2026-08-06,광주각화,240001,상추,장수군,0.0
2026-08-06,광주각화,240001,상추,장수군,0.0
2026-08-06,광주각화,240001,상추,남원시,0.0
2026-08-06,광주각화,240001,상추,남원시,0.0
2026-08-06,광주각화,240001,상추,남원시,0.0
2026-08-06,광주각화,240001,상추,남원시,0.0
2026-08-06,광주각화,240001,상추,남원시,0.0
2026-08-06,광주서부,240004,쌈채,순창군,0.0
2026-08-06,광주각화,240001,상추,남원시,0.0
2026-08-06,광주서부,240004,쌈채,순창군,0.0
2026-08-06,광주각화,240001,수박,진안군,0.0
2026-08-06,광주각화,240001,수박,진안군,0.0
2026-08-06,광주서부,240004,상추,순창군,0.0
2026-08-06,광주각화,240001,수박,진안군,0.0
2026-08-06,광주각화,240001,수박,진안군,0.0
2026-08-06,광주각화,240001,수박,진안군,0.0
2026-08-06,광주각화,240001,수박,진안군,0.0
2026-08-06,광주각화,240001,상추,남원시,0.0
2026-08-06,광주각화,240001,상추,남원시,0.0
2026-08-06,광주서부,240004,상추,순창군,0.0
2026-08-06,광주각화,240001,상추,남원시,0.0
2026-08-06,광주각화,240001,상추,남원시,0.0
2026-08-06,광주각화,240001,상추,남원시,0.0
2026-08-06,광주각화,240001,상추,남원시,0.0
2026-08-06,광주서부,240004,상추,순창군,0.0
2026-08-06,광주각화,240001,상추,장수군,0.0
2026-08-06,광주각화,240001,상추,남원시,0.0
2026-08-06,광주각화,240001,상추,장수군,0.0
2026-08-06,광주각화,240001,상추,장수군,0.0
2026-08-06,광주각화,240001,상추,장수군,0.0
2026-08-06,광주서부,240004,상추,순창군,0.0
2026-08-06,광주각화,240001,상추,장수군,0.0
2026-08-06,광주각화,240001,상추,장수군,0.0
2026-08-06,광주각화,240001,상추,장수군,0.0
2026-08-06,광주서부,240004,상추,순창군,0.0
2026-08-06,광주서부,240004,상추,순창군,0.0
2026-08-06,광주서부,240004,상추,순창군,0.0
2026-08-06,광주서부,240004,상추,순창군,0.0
2026-08-06,광주각화,240001,쌈채,순창군,0.0
2026-08-06,광주각화,240001,쌈채,순창군,0.0
2026-08-06,광주각화,240001,쌈채,순창군,0.0
2026-08-06,광주각화,240001,쌈채,순창군,0.0
2026-08-06,광주각화,240001,쌈채,순창군,0.0
2026-08-06,광주각화,240001,오이,정읍시,0.0
2026-08-06,광주각화,240001,쌈채,순창군,0.0
2026-08-06,광주각화,240001,오이,정읍시,0.0
2026-08-06,광주각화,240001,쌈채,순창군,0.0
2026-08-06,광주각화,240001,쌈채,순창군,0.0
2026-08-06,광주각화,240001,쌈채,순창군,0.0
2026-08-06,광주각화,240001,쌈채,순창군,0.0
2026-08-06,광주각화,240001,쌈채,순창군,0.0
2026-08-06,광주각화,240001,호박,순창군,0.0
2026-08-06,광주각화,240001,쌈채,순창군,0.0
2026-08-06,광주각화,240001,호박,순창군,0.0
2026-08-06,광주각화,240001,호박,순창군,0.0
2026-08-06,광주각화,240001,호박,순창군,0.0
2026-08-06,광주각화,240001,상추,순창군,0.0
2026-08-06,광주각화,240001,오이,장수군,0.0
2026-08-06,광주각화,240001,상추,순창군,0.0
2026-08-06,광주각화,240001,오이,장수군,0.0
2026-08-06,광주각화,240001,상추,순창군,0.0
2026-08-06,광주각화,240001,오이,장수군,0.0
2026-08-06,광주각화,240001,호박,무주군,0.0
2026-08-06,광주각화,240001,호박,무주군,0.0
2026-08-06,광주각화,240001,호박,무주군,0.0
2026-08-06,광주각화,240001,호박,무주군,0.0
2026-08-06,광주각화,240001,호박,남원시,0.0
2026-08-06,광주각화,240001,호박,남원시,0.0
2026-08-06,광주각화,240001,호박,남원시,0.0
2026-08-06,광주각화,240001,오이,남원시,0.0
2026-08-06,광주각화,240001,오이,남원시,0.0
2026-08-06,광주각화,240001,호박,남원시,0.0
2026-08-06,광주각화,240001,호박,장수군,0.0
2026-08-06,광주각화,240001,호박,장수군,0.0
2026-08-06,광주각화,240001,홍고추,무주군,0.0
2026-08-06,광주각화,240001,호박,남원시,0.0
2026-08-06,광주각화,240001,상추,남원시,0.0
2026-08-06,광주각화,240001,상추,남원시,0.0
2026-08-06,광주각화,240001,상추,남원시,0.0
2026-08-06,광주각화,240001,상추,남원시,0.0
2026-08-06,광주각화,240001,상추,남원시,0.0
2026-08-06,광주각화,240001,상추,남원시,0.0
2026-08-06,광주각화,240001,상추,남원시,0.0
2026-08-06,광주각화,240001,호박,순창군,0.0
2026-08-06,광주각화,240001,상추,장수군,0.0
2026-08-06,광주각화,240001,오이,고창군,0.0
2026-08-06,광주각화,240001,상추,남원시,0.0
2026-08-06,광주각화,240001,오이,고창군,0.0
2026-08-06,광주각화,240001,상추,남원시,0.0
2026-08-06,광주각화,240001,오이,고창군,0.0
2026-08-06,광주각화,240001,상추,남원시,0.0
2026-08-06,광주각화,240001,상추,남원시,0.0
2026-08-06,광주각화,240001,상추,남원시,0.0
2026-08-06,광주각화,240001,상추,남원시,0.0
2026-08-06,광주각화,240001,상추,남원시,0.0
2026-08-06,광주각화,240001,상추,남원시,0.0
2026-08-06,광주각화,240001,상추,남원시,0.0
2026-08-06,광주각화,240001,상추,남원시,0.0
2026-08-06,광주각화,240001,상추,장수군,0.0
2026-08-06,광주각화,240001,상추,장수군,0.0
2026-08-06,광주각화,240001,상추,장수군,0.0
2026-08-06,광주각화,240001,상추,남원시,0.0
2026-08-06,광주각화,240001,상추,남원시,0.0
2026-08-06,광주각화,240001,상추,남원시,0.0
2026-08-06,광주각화,240001,상추,남원시,0.0
2026-08-06,광주각화,240001,상추,장수군,0.0
2026-08-06,광주각화,240001,상추,장수군,0.0
2026-08-06,광주각화,240001,상추,남원시,0.0
2026-08-06,광주각화,240001,상추,남원시,0.0
2026-08-06,광주각화,240001,상추,남원시,0.0
2026-08-06,광주각화,240001,상추,남원시,0.0
2026-08-06,광주각화,240001,상추,남원시,0.0
2026-08-06,광주각화,240001,상추,남원시,0.0
2026-08-06,광주각화,240001,상추,남원시,0.0
2026-08-06,광주각화,240001,상추,남원시,0.0
2026-08-06,광주각화,240001,상추,남원시,0.0
2026-08-06,광주각화,240001,상추,남원시,0.0
2026-08-06,광주각화,240001,상추,남원시,0.0
