county,eup,price_kg,qty_kg,n_rec,n_months,price_summer,price_winter,n_markets,share,summer_ratio
고창군,부안면,1562.44769874477,956.0,7,1,,,1,0.003377315352807857,
남원시,이백면,3262.2816593886464,916.0,36,12,5824.5192307692305,4469.827586206897,1,0.003236005086999996,1.3030746977227208
남원시,주천면,2519.600188340807,892.0,6,4,,2687.5,1,0.00315121892751528,
완주군,소양면,1749.4768195067263,892.0,26,12,2923.4939759036147,1181.8181818181818,3,0.00315121892751528,2.4737256719184435
진안군,안천면,1541.635687732342,807.0,37,14,500.0,1958.8732394366198,1,0.0028509346126735775,0.2552487776819097
임실군,관촌면,6463.147676165803,772.0,42,7,8491.160725,947.9166666666666,2,0.0027272881300917,8.957708017582418
완주군,경천면,3179.318181818182,660.0,14,6,6077.115384615385,1604.8507462686566,3,0.0023316193858296916,3.786716863698961
무주군,적상면,4512.996688741722,604.0,13,4,4430.775862068966,,1,0.0021337850136986876,
익산시,함라면,994.954128440367,436.0,7,1,,994.954128440367,1,0.0015402818973056752,
순창군,인계면,2762.1951219512193,328.0,8,2,2762.1951219512193,,1,0.0011587441796244529,
익산시,춘포면,838.3900928792569,323.0,15,11,500.0,850.0,1,0.0011410803963984703,0.5882352941176471
고창군,고수면,816.875,320.0,4,1,,,1,0.001130482126462881,
진안군,백운면,4742.05298013245,302.0,9,3,16166.666666666666,,1,0.0010668925068493438,
익산시,황등면,3685.810810810811,296.0,3,3,4125.0,,1,0.0010456959669781648,
완주군,화산면,1353.301886792453,212.0,5,4,500.0,1776.923076923077,1,0.0007489444087816585,0.2813852813852814
익산시,신동,963.9423076923077,208.0,4,1,,963.9423076923077,1,0.0007348133822008726,
익산시,인화동,2167.9347826086955,184.0,5,3,,,1,0.0006500272227161565,
장수군,계북면,483.3333333333333,180.0,5,3,2250.0,,2,0.0006358961961353704,
진안군,성수면,1161.111111111111,180.0,7,2,,,1,0.0006358961961353704,
정읍시,산외면,1328.2051282051282,156.0,4,2,,1328.2051282051282,2,0.0005511100366506544,
완주군,이서면,1662.5,144.0,3,2,,,1,0.0005087169569082964,
남원시,갈치동,3328.5714285714284,140.0,2,2,,4000.0,2,0.0004945859303275103,
김제시,금구면,1183.8235294117646,136.0,4,3,,1312.5,1,0.0004804549037467243,
김제시,신풍동,2485.294117647059,136.0,3,1,2485.294117647059,,1,0.0004804549037467243,
임실군,신덕면,2550.0,132.0,3,2,2550.0,,1,0.00046632387716593834,
김제시,상동동,567.8571428571429,112.0,2,2,,,1,0.0003956687442620083,
김제시,황산면,4168.0,100.0,5,1,4168.0,,1,0.00035327566451965025,
김제시,신곡동,2375.0,80.0,2,1,,,1,0.0002826205316157202,
익산시,금강동,701.5625,64.0,3,3,,,1,0.00022609642529257618,
익산시,팔봉동,2000.0,60.0,1,1,2000.0,,1,0.00021196539871179014,
고창군,공음면,1500.0,52.0,1,1,1500.0,,1,0.00018370334555021815,
김제시,요촌동,2250.0,52.0,1,1,,2250.0,1,0.00018370334555021815,
남원시,대강면,2500.0,36.0,1,1,,,1,0.0001271792392270741,
정읍시,고부면,764.2857142857143,28.0,2,1,764.2857142857143,,1,9.891718606550208e-05,
임실군,임실읍,9950.0,28.0,1,1,9950.0,,1,9.891718606550208e-05,
고창군,심원면,4110.0,20.0,2,1,4110.0,,1,7.065513290393006e-05,
익산시,성당면,500.0,16.0,1,1,,500.0,1,5.6524106323144045e-05,
김제시,백산면,1454.5454545454545,11.0,3,1,1454.5454545454545,,1,3.886032309716153e-05,
군산시,오룡동,525.0,4.0,1,1,,,1,1.4131026580786011e-05,
정읍시,태인면,1375.0,4.0,1,1,,,1,1.4131026580786011e-05,
정읍시,연지동,750.0,4.0,1,1,,,1,1.4131026580786011e-05,
정읍시,이평면,2875.0,4.0,1,1,,,1,1.4131026580786011e-05,
