year,ym,month,actual,pred,method
2020,2020-05,5,2064.6228446720447,2523.8294348419618,analytic
2020,2020-06,6,3279.012342580697,2886.545404753413,analytic
2020,2020-07,7,4978.318310098686,3957.4346427900277,analytic
2020,2020-08,8,8838.360149034703,5082.833444398749,analytic
2020,2020-09,9,5619.295180086788,5923.9008919825665,analytic
2020,2020-10,10,1850.8362528978846,3958.90170287233,analytic
2020,2020-11,11,1891.802704312295,2765.2072534050376,analytic
2020,2020-12,12,3405.9544521657504,3430.6417573566846,analytic
2021,2021-01,1,4971.971829364932,3910.5745176125115,analytic
2021,2021-02,2,2884.4024417256596,2770.333608627243,analytic
2021,2021-03,3,2487.209310970788,1932.472312490363,analytic
2021,2021-04,4,2770.3748635386487,1939.5910631167917,analytic
2021,2021-05,5,2839.3721514512445,2481.552165601157,analytic
2021,2021-06,6,3669.2263773169398,2944.3200579210875,analytic
2021,2021-07,7,4977.055254217393,3863.9214039089347,analytic
2021,2021-08,8,6991.9305302807,4988.176894846691,analytic
2021,2021-09,9,10460.64757946111,5449.136305631715,analytic
2021,2021-10,10,7891.324604968693,4322.278862166965,analytic
2021,2021-11,11,3310.0003088010235,2442.33491039098,analytic
2021,2021-12,12,3159.872332558557,1961.679077408272,analytic
2022,2022-01,1,4421.075539424003,2930.071997999915,analytic
2022,2022-02,2,2395.2541250887098,2822.319346132588,analytic
2022,2022-03,3,2578.482910297402,2197.3231703251863,analytic
2022,2022-04,4,3002.8055780281884,2316.89034583313,analytic
2022,2022-05,5,2677.942836412439,2815.043494539232,analytic
2022,2022-06,6,3948.8349480423194,3205.257244161323,analytic
2022,2022-07,7,8792.50658310678,4396.367283986008,analytic
2022,2022-08,8,9409.868539984273,6960.10248729862,analytic
2022,2022-09,9,5194.005474892095,6657.529399112175,analytic
2022,2022-10,10,3191.0285531273066,3764.905790426546,analytic
2022,2022-11,11,2019.4117429570485,2984.3389431925916,analytic
2022,2022-12,12,5281.381163475159,3316.0302189461036,analytic
2023,2023-01,1,5637.419817242143,4268.4632472456115,analytic
2023,2023-02,2,3864.1014337678266,2957.4193180855564,analytic
2023,2023-03,3,3247.3347550611743,2124.861117788754,analytic
2023,2023-04,4,2956.0400716665886,2251.8923878074756,analytic
2023,2023-05,5,2593.58892722053,2661.407768629224,analytic
2023,2023-06,6,3435.2640133088516,3312.668838214429,analytic
2023,2023-07,7,9958.97262643662,5113.801353138701,analytic
2023,2023-08,8,6789.750961881995,8469.845984840278,analytic
2023,2023-09,9,7134.070422942123,5327.931540929259,analytic
2023,2023-10,10,5396.45378473103,3961.284166273635,analytic
2023,2023-11,11,3737.8953464860106,3316.2944202450562,analytic
2023,2023-12,12,3183.764694039986,3282.4276874398056,analytic
2024,2024-01,1,4566.930488215524,3777.3293530317405,analytic
2024,2024-02,2,2857.18395087652,3017.141836855285,analytic
2024,2024-03,3,3605.557850886509,2527.452967677031,analytic
2024,2024-04,4,2354.3771130985897,2666.898389109956,analytic
2024,2024-05,5,2432.454660984288,2736.1119797358597,analytic
2024,2024-06,6,2735.6046494374705,3336.7582460590684,analytic
2024,2024-07,7,6768.9798004398635,5761.376664679013,analytic
2024,2024-08,8,8280.265680714458,7253.751489834306,analytic
2024,2024-09,9,13833.212743914744,7387.272120971698,analytic
2024,2024-10,10,10924.003764858491,6371.629827904033,analytic
