unit,rel,q,nwk,county,eup,lq,y
완주군|완주군,1.0463887603083082,1124606.2000000004,436.0,완주군,완주군,13.932943487896356,0.11740858613443562
완주군|용진면,0.8676417816922634,2559866.3000000017,450.0,완주군,용진면,14.755465588529391,-0.06991271763937121
익산시|갈산동,1.0522494413899643,515327.49999999994,239.0,익산시,갈산동,13.152557899863046,0.017224170961108072
익산시|금마면,0.9954758537559725,44054.000000000015,110.0,익산시,금마면,10.693171433144103,-0.03824043800066926
익산시|망성면,1.059034191475548,3516221.7000000007,449.0,익산시,망성면,15.072897590406855,0.02365132583078427
익산시|목천동,1.0843340833887019,4756630.500000001,449.0,익산시,목천동,15.375050097392304,0.04726002370783713
익산시|여산면,0.973181855840977,48124.00000000001,207.0,익산시,여산면,10.781536292153415,-0.060890338895103736
익산시|익산시,1.046839243493081,35994285.899999976,449.0,익산시,익산시,17.398870758822238,0.012069353143368204
익산시|익산우체국사서함,1.0193033200017219,2491460.829999998,447.0,익산시,익산우체국사서함,14.728379775127072,-0.01458665250945312
익산시|함열읍,1.0483511353514376,350206.0,138.0,익산시,함열읍,12.766276831753938,0.013512555762128432
임실군|임실군,1.003936973532732,63152.0,111.0,임실군,임실군,11.053299797902628,0.0
장수군|계남면,1.1985475532811822,2488152.999999999,446.0,장수군,계남면,14.727051226127305,0.07486804047580334
장수군|번암면,1.2479898951067523,772507.9000000004,415.0,장수군,번암면,13.557397514238964,0.11529176208451014
장수군|산서면,1.0908995620346602,110084.29999999996,323.0,장수군,산서면,11.60900171490425,-0.01923976881043675
장수군|장계면,0.9182680193947493,39135.30000000002,226.0,장수군,장계면,10.574780151981884,-0.19150838180906724
장수군|장수군,1.0740793011354015,1209243.0000000007,438.0,장수군,장수군,14.005505101956464,-0.03477858041571388
장수군|장수읍,1.173668199238477,1704016.499999999,450.0,장수군,장수읍,14.348498669423108,0.05389164634178789
장수군|천천면,1.113733286402804,20115.49999999998,126.0,장수군,천천면,9.909245941146793,0.0014752821331164984
전주시|고랑동,0.6765877669948344,90879.59999999995,370.0,전주시,고랑동,11.41729083253684,-0.353964800898717
전주시|동산동,1.1713209357768453,177640.99999999994,413.0,전주시,동산동,12.08751993875295,0.19486041891466357
전주시|서노송동,1.0482030476687352,192878.8999999999,447.0,전주시,서노송동,12.169817809811,0.08380561692199309
전주시|송천동2가,1.0975532311550746,3363226.399999999,449.0,전주시,송천동2가,15.028411309300944,0.1298116689967164
전주시|송천동2가401∼599,0.8832300283680408,21160.500000000007,114.0,전주시,송천동2가401∼599,9.959891515182667,-0.08744130251205243
전주시|전주시,0.9962073070601974,159824.99999999994,287.0,전주시,전주시,11.981834745634927,0.0329283985773964
정읍시|농소동,1.248254775104568,38498.74999999999,314.0,정읍시,농소동,10.558381052216326,0.3181649015227417
정읍시|수성동,0.6606154310104396,65153.40000000003,288.0,정읍시,수성동,11.084499768451453,-0.3181649015227417
진안군|동향면,1.3125096989972638,280566.7000000001,252.0,진안군,동향면,12.544566765338727,0.10885779118897523
진안군|부귀면,1.2064918137104435,36161.50000000003,146.0,진안군,부귀면,10.495750295946632,0.02463350692532576
진안군|진안군,1.0465352121452978,586633.5999999997,278.0,진안군,진안군,13.282155713121371,-0.11759840410678812
진안군|진안읍,1.1585745577612752,1226962.000000001,433.0,진안군,진안읍,14.020051753368323,-0.015892894007512842
