ym,full,sample,n_days_full,n_days_sample,n_obs_full,n_obs_sample,err_pct
2025-03,2334.6511597892045,2373.599174195714,26,3,4939,561,1.6682584138191439
2025-04,2441.986572033717,2358.5925423225976,26,3,5063,591,-3.4150077099591836
2025-05,3138.2993585885097,3529.0481309979714,27,2,5261,401,12.450971936125493
2025-06,2645.749172168402,2810.1863246458192,25,2,5152,411,6.215145192416259
2025-07,4741.949470621636,4697.26799194147,27,3,6250,705,-0.9422596962912746
2025-08,6160.347230546031,5843.83980313847,26,3,5799,732,-5.137817976203696
2025-09,9154.278932355857,9496.80740986383,26,3,5830,691,3.741730834717124
2025-10,7874.734538561109,7373.898128047549,25,3,5248,448,-6.360041828217282
2025-11,3483.1902274208023,3720.0098083565044,25,3,4946,588,6.798927577121158
2025-12,3526.0668215932697,3189.7267824449004,27,3,4986,542,-9.53867456761334
2026-01,5987.152825739163,8085.6929415787645,27,2,4572,372,35.05071904658655
2026-02,3003.3342065198053,2739.540879856264,23,3,3733,383,-8.783349055555794
2026-03,2237.818212810937,2305.8141363118903,26,2,4722,343,3.0384918270704024
2026-04,2602.6229522304043,2698.072716851607,26,2,4678,362,3.6674449727496534
2026-05,2631.8652864843975,2630.3146817390707,26,3,4692,542,-0.05891656967739822
2026-06,3455.891174080509,3259.2063096013544,26,3,4958,599,-5.691292189820917
2026-07,5119.532767572747,5596.814258633135,27,2,5915,441,9.322754882701439
2026-08,5662.9729725211355,4647.507218122077,9,1,1580,232,-17.93167227402424
