year,ym,month,actual,prob_model,prob_base,prob_freq,price,thr
2022,2022-06,6,1,0.31204109568808414,0.21964736829022868,0.25,3940.81032938482,3604.676479932252
2022,2022-07,7,1,0.2389159010824472,0.21964736829022935,0.0,8717.36579152674,5325.764928231634
2022,2022-08,8,1,0.23218354948108044,0.21964736829022935,0.25,9334.05959656495,8478.027889317216
2022,2022-09,9,0,0.0636865714369983,0.21964736829022935,0.0,5183.528037556411,10709.472368220728
2022,2022-10,10,0,0.04541832359861009,0.21964736829022935,0.5,3193.091077130624,6442.704591041428
2022,2022-11,11,0,0.34105093434304645,0.21964736829023024,0.25,2021.7473338783602,3276.155622140295
2022,2022-12,12,1,0.24478279844181683,0.21964736829022935,0.0,5293.6213797743285,3982.349132244901
2023,2023-01,1,1,0.18663349481641678,0.21440495396612635,0.0,5635.268974229032,5455.212416532506
2023,2023-02,2,1,0.3932329697780307,0.21440495396612635,0.0,3858.1326898911652,3072.487722650123
2023,2023-03,3,1,0.12102833672755076,0.21440495396612635,0.0,3240.86295780888,2986.882389342686
2023,2023-04,4,0,0.11092032403070085,0.21440495396612702,0.0,2941.381723835698,3223.1404740044436
2023,2023-05,5,0,0.20813697607601434,0.21440495396612547,0.0,2583.767923563818,3318.2918171312303
2023,2023-06,6,0,0.25819436369931925,0.21440495396612635,0.2,3414.483668005468,3908.3518695858543
2023,2023-07,7,1,0.1861505542867743,0.21440495396612635,0.2,9908.288684272804,6527.127048382259
2023,2023-08,8,0,0.34069460064796797,0.21440495396612635,0.2,6760.758594082711,9209.277806560662
2023,2023-09,9,0,0.022799205388882582,0.2144049539661279,0.4,7110.862453302893,9915.295184341248
2023,2023-10,10,0,0.08496147120334585,0.21440495396612635,0.4,5402.425738298887,5984.367352887105
2023,2023-11,11,1,0.5048712326036113,0.21440495396612702,0.4,3733.202739079418,3146.5788045206095
2023,2023-12,12,0,0.12803063796219694,0.21440495396612635,0.2,3197.7034162891396,4562.220864537247
2024,2024-01,1,0,0.07046621062169955,0.19822221353376257,0.0,4570.4348945145875,5766.985291526711
2024,2024-02,2,0,0.30451881657284996,0.19822221353376168,0.16666666666666666,2852.9349417949984,3396.335185018188
2024,2024-03,3,1,0.19031437165133358,0.19822221353376168,0.16666666666666666,3597.1515302734006,3191.2556319774953
2024,2024-04,4,0,0.20242974002083636,0.19822221353376257,0.0,2349.713453158933,3323.2497685014373
2024,2024-05,5,0,0.22517293503015234,0.19822221353376257,0.0,2434.4695442060793,3325.0595643815186
2024,2024-06,6,0,0.23889491400071938,0.19822221353376257,0.0,2719.982027459428,3996.764686056064
2024,2024-07,7,0,0.15453930792205073,0.19822221353376257,0.3333333333333333,6727.132420253499,7586.068421910991
2024,2024-08,8,0,0.18981696297067707,0.19822221353376257,0.16666666666666666,8191.573887893983,9139.229200851805
2024,2024-09,9,1,0.14991759381163972,0.19822221353376257,0.3333333333333333,13738.364993395764,9803.432851833335
2024,2024-10,10,1,0.49714931176811106,0.19822221353376257,0.3333333333333333,10895.175032584173,6157.498370704014
2024,2024-11,11,1,0.4348303085892393,0.19822221353376257,0.16666666666666666,3801.536703595846,3431.0095972343825
2024,2024-12,12,0,0.023085182768096235,0.19822221353376257,0.16666666666666666,2958.14451707206,4494.686460643685
2025,2025-01,1,0,0.028867801764886014,0.18930677278655494,0.0,2719.5840494402237,5791.925301718462
2025,2025-02,2,0,0.19761883563600335,0.18930677278655406,0.14285714285714285,2469.6320755502443,3440.9752192060896
2025,2025-03,3,0,0.20243574274884035,0.18930677278655494,0.14285714285714285,2334.651159789205,3403.4043973171993
2025,2025-04,4,0,0.19482806221168314,0.18930677278655494,0.0,2441.986572033717,3284.8751571593193
2025,2025-05,5,0,0.25852094597156317,0.18930677278655572,0.0,3137.920090739271,3302.1668276795735
2025,2025-06,6,0,0.27538404207739164,0.18930677278655494,0.14285714285714285,2645.749172168401,3930.937821719091
2025,2025-07,7,0,0.08810773558780816,0.18930677278655494,0.2857142857142857,4741.949470621636,7751.668953970783
2025,2025-08,8,0,0.145477112465349,0.18930677278655494,0.0,6160.347230546031,9354.917322767573
2025,2025-09,9,0,0.2913057706877811,0.1893067727865566,0.14285714285714285,9154.278932355857,10954.353086059215
2025,2025-10,10,1,0.5786955738484624,0.18930677278655494,0.2857142857142857,7874.734538561112,7301.245395226216
2025,2025-11,11,0,0.5534021413207577,0.18930677278655572,0.2857142857142857,3483.1902274208023,3646.8650425829846
2025,2025-12,12,0,0.07698930026786122,0.18930677278655494,0.14285714285714285,3526.06682159327,4401.958090865112
2026,2026-01,1,1,0.04096550441204405,0.18426868961885423,0.125,5987.152825739163,5509.86704703769
2026,2026-02,2,0,0.3312335474313073,0.18426868961885423,0.125,3003.3342065198044,3412.168529082243
2026,2026-03,3,0,0.1208708600805879,0.18426868961885512,0.125,2237.818212810937,3357.3596611182948
2026,2026-04,4,0,0.12365656579458939,0.18426868961885423,0.0,2602.622952230404,3271.0885804698837
2026,2026-05,5,0,0.2519759094639502,0.18426868961885345,0.0,2631.8652864843975,3399.307988964759
2026,2026-06,6,0,0.24923491867082537,0.18426868961885345,0.125,3455.891174080509,3869.50483448157
2026,2026-07,7,0,0.07883748964435844,0.18426868961885423,0.25,5119.532767572748,7553.277123700452
