county,wk,rel,ncell,dtr,nday,month,woy,lrel,y,hi
남원시,2019-09-30,1.0750808539820575,19,6.6571428571428575,7,9,40,0.07239587175783492,-0.0070812337010334875,False
남원시,2020-06-01,1.04523230406712,19,12.471428571428572,7,6,23,0.044239161254368574,-0.012028866926833436,True
남원시,2020-06-08,1.01521612357881,15,10.714285714285714,7,6,24,0.015101519461749105,-0.03311096143108021,True
남원시,2020-06-15,1.0084465134751528,18,10.342857142857143,7,6,25,0.008411041284468958,-0.0482025999818078,True
남원시,2020-06-22,1.086787123990937,18,9.471428571428572,7,6,26,0.08322575086547455,0.008201263908555204,False
남원시,2020-06-29,1.082497744327929,16,6.785714285714286,7,6,27,0.07927109713060831,-0.0007886700925816004,False
남원시,2020-07-06,1.0229313510566513,17,7.828571428571428,7,7,28,0.02267237920134367,-0.07719453384448668,False
남원시,2020-07-13,0.9532222553015492,18,6.757142857142857,7,7,29,-0.047907186042752424,-0.15187801891297606,False
남원시,2020-07-20,1.0401291126003076,16,5.385714285714286,7,7,30,0.03934485217877862,-0.040736245173497214,False
남원시,2020-07-27,0.9743276760916357,16,6.157142857142857,7,7,31,-0.02600760882513293,-0.11285085512888693,False
남원시,2020-08-03,1.0712714734038746,15,5.114285714285716,7,8,32,0.06884623591343086,-0.01807513044077684,False
남원시,2020-08-10,1.055558076573482,16,7.971428571428571,7,8,33,0.05406960960019612,-0.04182194359570758,False
남원시,2020-08-17,0.9511095688131059,20,10.12857142857143,7,8,34,-0.05012600875888885,-0.12660679637784297,True
남원시,2020-08-24,1.0511293011733358,17,8.542857142857143,7,8,35,0.04986511113385584,-0.032363645796270095,False
남원시,2020-08-31,1.0657931106035086,18,7.485714285714285,7,8,36,0.0637192267983922,0.015852664686816564,False
남원시,2020-09-07,1.0833150654087582,15,6.514285714285715,7,9,37,0.08002584483175171,-0.0033233910426066493,False
남원시,2020-09-14,1.030665011425356,17,10.185714285714285,7,9,38,0.03020423606485379,-0.05404115047394185,True
남원시,2020-09-21,1.037081087392247,21,10.200000000000001,7,9,39,0.03641012039698528,-0.036436897118183584,True
남원시,2020-09-28,1.1010937475731937,19,11.485714285714286,7,9,40,0.09630400177526316,0.01682689631639475,True
남원시,2021-06-07,0.9632702076837736,16,11.957142857142857,7,6,23,-0.03742131704678979,-0.0936893452279918,True
남원시,2021-06-14,1.0054706237054039,16,7.928571428571429,7,6,24,0.005455714195037444,-0.04275676669779187,False
남원시,2021-06-21,0.9799133759866501,13,11.0,7,6,25,-0.020291103074666344,-0.0769047443409431,True
남원시,2021-06-28,1.0522796998526627,17,8.714285714285714,7,6,26,0.05095895336184781,-0.02406553359507154,False
남원시,2021-07-05,1.062719356587245,15,5.614285714285714,7,7,27,0.060831053766477176,-0.01922871345671274,False
남원시,2021-07-12,1.045805335919781,14,10.542857142857143,7,7,28,0.0447872449961889,-0.055079668049641456,True
남원시,2021-07-19,1.1397323033431608,16,9.385714285714284,7,7,29,0.1307934132026822,0.02682258033245856,False
남원시,2021-07-26,1.1380618647380607,20,10.971428571428572,7,7,30,0.12932669691376567,0.04924559956148983,True
남원시,2021-08-02,1.0940965266732354,19,9.87142857142857,7,8,31,0.08992893289839733,0.0030856865946433387,False
