ym,county,full,sample,n_obs_full,n_obs_sample,n_days_sample
2021-04,익산시,2899.4655067046124,2852.8839393640137,760,58,2
2021-04,장수군,3074.8240339840772,3056.707839011516,293,23,2
2021-04,전주시,1627.7370734895055,1624.9742785493827,235,18,2
2021-04,정읍시,1769.7108877551018,1531.2656904761905,92,11,2
2021-04,진안군,3022.4983959823885,2899.3478559782607,51,4,2
2021-05,고창군,3817.910447761194,,3,0,0
2021-05,김제시,2307.066945655333,2191.045444155844,126,13,3
2021-05,남원시,2901.365298772221,2690.8848225467536,1201,137,3
2021-05,무주군,1748.5714285714287,1125.0,5,1,1
2021-05,부안군,2068.181818181818,,3,0,0
2021-05,순창군,1915.3697010982487,1762.56917739726,166,19,3
2021-05,완주군,2001.5536063762927,1762.023685421713,483,53,3
2021-05,익산시,3108.632178443482,2929.0260337864665,624,74,3
2021-05,장수군,3027.606601705537,2990.3165610288765,421,50,3
2021-05,전주시,1593.3098104974024,1387.5426095788112,227,31,3
2021-05,정읍시,1515.9989896776306,1010.3294892915981,88,12,3
2021-05,진안군,2584.7826481725124,2066.825803713528,83,13,3
2021-06,고창군,3755.501766129032,5233.33325,9,1,1
2021-06,김제시,2898.0807825492343,3400.0,42,2,2
2021-06,남원시,3809.420154168773,3866.707183245024,1325,136,3
2021-06,무주군,1646.433933933934,1908.3333333333333,20,3,1
2021-06,부안군,2459.741550695825,2750.0,9,1,1
2021-06,순창군,2761.0809250481198,2359.419232460243,171,20,3
2021-06,완주군,2479.8870479241314,2338.201996569179,416,46,3
2021-06,익산시,3940.520398586776,4255.086388444198,513,57,3
2021-06,임실군,1153.5714285714287,375.0,6,1,1
2021-06,장수군,3643.6206585562422,3726.854358449019,538,52,3
2021-06,전주시,2894.433430063183,3362.2570347129504,194,18,3
2021-06,정읍시,2145.4607843137255,2318.627450980392,41,3,2
2021-06,진안군,3694.8823694369976,3633.424971882641,65,6,3
2021-07,고창군,3232.0402298850577,2495.098039215686,4,2,2
2021-07,김제시,3815.8086177951873,6458.823529411765,70,2,1
2021-07,남원시,5433.806664431456,6234.41068416137,1566,122,2
2021-07,무주군,4508.924791019372,5600.0,72,3,1
2021-07,부안군,3173.362343785105,4171.510308871851,100,10,2
2021-07,순창군,3899.2468545751635,3838.9736842105262,83,9,2
2021-07,완주군,4034.8200011423405,4806.847074771441,424,27,2
2021-07,익산시,4860.147214991237,4339.878224657146,596,43,2
2021-07,임실군,2179.8469387755104,1700.0,12,1,1
2021-07,장수군,5030.704768326383,5742.331690142477,641,42,2
2021-07,전주시,3930.885702687295,4000.105305010893,174,12,2
2021-07,정읍시,6079.2657360139865,6394.2307692307695,31,3,2
2021-07,진안군,5340.927492411955,5823.931541019956,119,8,2
2021-08,고창군,7008.910234615384,,4,0,0
2021-08,김제시,5929.9490950226245,5490.0,35,2,2
2021-08,남원시,7418.116462370726,6241.803276536098,1505,125,2
2021-08,무주군,6374.970303716905,5796.969696969697,82,8,2
2021-08,부안군,5305.626701249526,4442.411502793296,54,3,2
2021-08,순창군,4812.294313296178,4165.012235294118,61,7,2
2021-08,완주군,5455.652450493365,4448.310581377933,365,27,2
2021-08,익산시,7073.941517131736,5060.410079489724,552,39,2
2021-08,임실군,1625.0,,4,0,0
2021-08,장수군,6767.734680622801,5804.054234162896,640,45,2
2021-08,전주시,5056.552882435426,4148.156222784811,169,13,2
2021-08,정읍시,7436.869158878505,9215.0,21,1,1
2021-08,진안군,6829.354479099768,5389.4018774509805,103,7,2
2021-09,고창군,5206.43940530303,3791.66675,4,1,1
2021-09,김제시,9393.13063063063,7797.8448275862065,49,4,2
