county,wk,rel,ncell,dtr,trop,nday,woy,dtr2,trop2,dtr4,trop4,lrel,y,d_dtr,d_dtr2,d_dtr4,d_trop,d_trop2,d_trop4
순창군,2024-07-01,1.033020424519567,7,7.742857142857143,1.0,7,27,8.50714285714285,1.0,10.892857142857142,1.0,0.03248696198421257,-0.004914796342977867,-0.7095238095238097,-0.14841269841270055,1.0170634920634924,0.7777777777777778,0.5555555555555556,0.5555555555555556
순창군,2024-07-08,0.8796629873523013,6,5.5,1.0,7,28,6.621428571428563,2.0,8.539285714285715,2.0,-0.12821641377904844,-0.1290202204609956,-2.551785714285714,-1.769642857142859,-0.5665178571428573,0.625,1.375,1.125
순창군,2024-07-15,1.1372589761930256,5,6.614285714285714,0.0,7,29,6.057142857142848,1.0,7.282142857142857,2.0,0.1286209603302334,0.007956437810434758,-1.4111111111111114,-1.8801587301587324,-1.1539682539682534,-0.4444444444444444,0.2222222222222222,0.7777777777777777
순창군,2024-07-22,1.1160723866643145,4,7.585714285714287,4.0,7,30,7.099999999999992,4.0,6.860714285714286,6.0,0.10981572445806392,0.05313192096625897,-1.493650793650792,-1.4523809523809552,-1.56111111111111,2.888888888888889,2.4444444444444446,3.888888888888889
순창군,2024-07-29,1.1462926888089426,5,9.585714285714287,3.0,7,31,8.585714285714278,7.0,7.321428571428572,8.0,0.1365329860402723,0.07986880460967469,-0.5936507936507915,-1.0436507936507962,-1.4619047619047612,2.0,4.888888888888889,5.111111111111111
순창군,2024-08-05,1.1356332610146658,5,10.485714285714284,1.0,7,32,10.035714285714278,4.0,8.567857142857143,8.0,0.12719043456311982,0.07606712002910682,1.56031746031746,0.48333333333333073,-0.48452380952380736,-0.6666666666666667,1.3333333333333335,3.7777777777777777
순창군,2024-08-12,1.1439839856233593,4,11.5,1.0,7,33,10.992857142857133,2.0,9.789285714285715,9.0,0.13451689427864552,0.0361987448808494,1.8214285714285712,1.87053571428571,0.4419642857142865,0.5,0.125,5.25
순창군,2024-08-19,1.237059046838416,4,8.885714285714284,2.0,7,34,10.192857142857132,3.0,10.114285714285714,7.0,0.2127368261744517,0.13844731010266054,-0.32678571428571423,0.7473214285714249,0.751785714285715,1.75,2.25,3.75
순창군,2024-08-26,1.2048404530117005,4,10.57142857142857,0.0,7,35,9.728571428571417,2.0,10.360714285714284,4.0,0.18634715403674879,0.10589604627903068,2.246938775510202,0.7755102040816269,1.3316326530612237,-0.14285714285714285,1.5714285714285714,1.4285714285714284
순창군,2024-09-02,1.07334588265635,4,8.914285714285713,0.0,7,36,9.742857142857133,0.0,9.967857142857142,3.0,0.07078076273571136,0.038932806678640595,-0.47959183673469497,0.8836734693877517,0.6948979591836739,0.0,-0.14285714285714285,2.0
