계절,가격,고온,발아,야간,광,강수,저온,n_feat,mape,baseline,wins,n_fold,mape_std,worst_fold,y2020,y2021,y2022,y2023,y2024,y2025
0,0,0,0,1,1,0,1,4,25.047093362405445,25.4476571326886,3,6,6.432114763596274,36.24734210185722,36.24734210185722,23.01501141681455,27.391979233928097,23.300550320168885,23.40762610112059,16.9200510005433
0,0,0,0,1,1,1,0,5,25.302948910754072,25.4476571326886,3,6,8.763894032066403,41.55707148436785,41.55707148436785,23.040187390972143,26.08930208664467,23.755068064306393,22.165392610731317,15.210671827502075
0,0,0,0,1,1,1,1,6,25.955507450264793,25.4476571326886,2,6,9.48690215080759,44.14456201108678,44.14456201108678,23.036016320620856,26.099581573036655,23.940397819956573,22.154495408743756,16.35799156814413
0,0,0,1,0,0,0,0,1,28.025906657417504,25.4476571326886,3,6,14.480750858947626,56.550116037356744,56.550116037356744,23.76420244959469,27.782486822630087,19.160538244195294,23.854668921668424,17.043427469059775
0,0,0,1,0,0,0,1,2,28.015775743827593,25.4476571326886,3,6,14.409303097047076,56.26984538593122,56.26984538593122,24.18754314913466,27.686398462410565,19.826522689485866,24.030817931998318,16.09352684400492
0,0,0,1,0,0,1,0,3,25.784514006961217,25.4476571326886,3,6,11.07376188921687,46.5812422702792,46.5812422702792,24.18466583757021,27.242826950096603,19.998766072545298,22.345153556934,14.354429354341997
0,0,0,1,0,0,1,1,4,26.285266726619952,25.4476571326886,3,6,12.153139557809823,49.48157622256993,49.48157622256993,24.164250978597206,27.23999126917867,20.11528756880195,22.30340882856898,14.407085492002981
0,0,0,1,0,1,0,0,3,26.853096841908215,25.4476571326886,3,6,12.486549465842224,51.337235416478286,51.337235416478286,21.61778989239568,28.227170441529825,20.464684074046655,21.818856076635196,17.652845150363635
0,0,0,1,0,1,0,1,4,26.82658215030621,25.4476571326886,3,6,12.415640634658226,51.13123894512923,51.13123894512923,21.61286471609999,28.13980550147476,20.957907278953904,21.907813192878166,17.209863267301184
0,0,0,1,0,1,1,0,5,26.20673117922573,25.4476571326886,2,6,11.105637955515602,47.16139517334923,47.16139517334923,24.645312569715458,27.025392861934172,22.623931751027325,21.310490663326863,14.473864056001343
0,0,0,1,0,1,1,1,6,26.760248921721736,25.4476571326886,2,6,12.213410552581914,50.147326200241324,50.147326200241324,24.6158652809335,27.027208679494958,22.950915151149285,21.304958259826545,14.51521995868478
0,0,0,1,1,0,0,0,2,25.038399595143833,25.4476571326886,4,6,9.078816185176304,41.81700122420419,41.81700122420419,23.260944218427706,27.532969773213583,18.26549497041535,22.665240037493753,16.68874734710842
0,0,0,1,1,0,0,1,3,24.96636571479731,25.4476571326886,4,6,9.071458255575136,41.76765482588004,41.76765482588004,23.269350631712012,27.21717213555636,18.294987915291472,22.75895500936813,16.490073770975854
0,0,0,1,1,0,1,0,4,25.384890668413448,25.4476571326886,2,6,9.437003938151369,42.939064933855335,42.939064933855335,23.64030586203958,27.339543548184036,20.785827039862383,22.15338971694757,15.4512129095918
0,0,0,1,1,0,1,1,5,25.448077955237654,25.4476571326886,2,6,9.559454570183641,43.30201948673229,43.30201948673229,23.6212843172546,27.344808144871674,20.839089761004956,22.056513537334247,15.524752484228143
0,0,0,1,1,1,0,0,4,24.81455452429042,25.4476571326886,4,6,8.217346516591256,39.64673644705834,39.64673644705834,23.09484906472695,28.206943699607656,20.14087748783474,21.2793843644773,16.5185360820375
0,0,0,1,1,1,0,1,5,24.848871784135884,25.4476571326886,3,6,8.154815430055223,39.55883909175116,39.55883909175116,23.066208158909653,28.161050729754134,20.572622796155514,21.329746726705885,16.404763201538955
0,0,0,1,1,1,1,0,6,25.234560266567858,25.4476571326886,3,6,8.781238145178754,40.56141040993964,40.56141040993964,23.064706094781172,29.67613615862849,22.019396654477124,20.5352470054642,15.550465276116501
0,0,0,1,1,1,1,1,7,25.135126002993076,25.4476571326886,4,6,9.032492423321218,41.74087269420497,41.74087269420497,23.06167581665796,27.737866443069574,22.14592271195134,20.523680183708915,15.6007381683657
0,0,1,0,0,0,0,0,2,23.980547213084034,25.4476571326886,4,6,6.705565424709293,36.91409244552724,36.91409244552724,22.589818743795572,24.85632241533244,20.094920902870108,21.00663834981804,18.4214904211608
0,0,1,0,0,0,0,1,3,23.928250729289374,25.4476571326886,4,6,6.693990954704949,37.07955495641065,37.07955495641065,22.401005359329087,23.897909712448858,20.65225694904017,21.079535755640354,18.45924164286715
0,0,1,0,0,0,1,0,4,24.700751263981502,25.4476571326886,3,6,7.776101934674016,39.15359353276722,39.15359353276722,25.38481769175491,24.208810894425024,20.997789042224646,22.325594349462342,16.13390207325489
