entity,ym,forecast_price,pred_lower_90,pred_upper_90,reference_mape_pct,spike_prob,spike_threshold,lag1_actual,lag12_actual,months_beyond_actual
iksan,2026-12,11363.729863514149,3991.198727109906,32354.779914562572,25.57,0.016178121503014342,22443.82977500376,False,True,4
iksan,2027-01,15284.726718491329,4744.641613746449,49239.3082297506,25.57,0.11353850498144813,22443.82977500376,False,True,5
iksan,2027-02,10701.168505272966,2970.8836273426914,38545.773494559275,25.57,0.009932920567360615,22443.82977500376,False,True,6
iksan,2027-03,9510.003423680333,2382.5540436584065,37959.334168781745,25.57,0.003467725563027879,22443.82977500376,False,True,7
iksan,2027-04,9292.23239957697,2115.8096936868988,40809.71139577619,25.57,0.002779094566404905,22443.82977500376,False,True,8
iksan,2027-05,10160.986894197707,2114.9960861161467,48816.002706488114,25.57,0.006355970231297192,22443.82977500376,False,True,9
iksan,2027-06,11468.543132291708,2192.8605814987372,59979.86497041286,25.57,0.017381293157405442,22443.82977500376,False,True,10
iksan,2027-07,18835.02636490207,3322.002681889524,106790.46711809786,25.57,0.29075193962302914,22443.82977500376,False,True,11
iksan,2027-08,22096.936039967615,3607.9272865107337,135333.82010773153,25.57,0.4804683413256582,22443.82977500376,False,True,12
iksan,2027-09,28764.369588897283,4361.561232795476,189700.18158300084,25.57,0.7823549359401135,22443.82977500376,False,False,13
iksan,2027-10,22233.21605832358,3139.531894129003,157448.91689760488,25.57,0.4881748410745399,22443.82977500376,False,False,14
iksan,2027-11,13122.534713583635,1729.9833804074017,99539.0587328389,25.57,0.045753398271928813,22443.82977500376,False,False,15
iksan,2027-12,11290.908007800375,1392.8160781079807,91530.10626771867,25.57,0.015378744029013625,22443.82977500376,False,False,16
jangsu,2026-09,22205.597438192774,12984.798152903375,37974.2951550479,26.55,0.6186789087245768,20122.407418679824,True,True,1
jangsu,2026-10,17790.327164141658,8329.781783614795,37995.682099351456,26.55,0.35284820839405673,20122.407418679824,False,True,2
jangsu,2026-11,12834.311676615296,5067.077293083048,32507.80414132594,26.55,0.08398971782653497,20122.407418679824,False,True,3
jangsu,2026-12,10401.227485031604,3556.5594801464817,30418.592406310916,26.55,0.021528789463407305,20122.407418679824,False,True,4
jangsu,2027-01,15211.733307255121,4582.620676296726,50494.43245607,26.55,0.19552663871952414,20122.407418679824,False,True,5
jangsu,2027-02,11033.63830498056,2964.2911791023366,41069.23608024252,26.55,0.0327234684716895,20122.407418679824,False,True,6
jangsu,2027-03,10235.30203988504,2474.961720212974,42328.49623171546,26.55,0.019111634620807227,20122.407418679824,False,True,7
jangsu,2027-04,10061.794946637769,2205.844233505714,45896.13174421053,26.55,0.016798779339225578,20122.407418679824,False,True,8
jangsu,2027-05,10360.826257256778,2071.632010323077,51817.46574591713,26.55,0.02092128038899521,20122.407418679824,False,True,9
jangsu,2027-06,10474.716640933597,1919.7531417284674,57153.01948096518,26.55,0.022665713850954616,20122.407418679824,False,True,10
jangsu,2027-07,15946.5189286035,2690.307408576118,94521.3417357747,26.55,0.23789676479367694,20122.407418679824,False,True,11
jangsu,2027-08,16260.590776167097,2534.581232735065,104319.72310654618,26.55,0.25678484486925723,20122.407418679824,False,True,12
jangsu,2027-09,21120.978720186336,3051.5627642040813,146185.99601863875,26.55,0.5590200624543944,20122.407418679824,False,False,13
jangsu,2027-10,16945.327061532087,2275.8403306239097,126170.58646797627,26.55,0.29915497460590146,20122.407418679824,False,False,14
jangsu,2027-11,12490.203029555689,1563.3593066690814,99788.43062757545,26.55,0.0718642428236842,20122.407418679824,False,False,15
jangsu,2027-12,10355.694562491159,1210.793819048908,88570.33145069034,26.55,0.0208449973905922,20122.407418679824,False,False,16
wanju,2026-09,19366.021145772767,10279.096146990201,36485.968187809325,27.99,0.5549333770009419,18362.873641129747,True,True,1
wanju,2026-10,14897.802378298837,6082.646836281248,36488.14762333577,27.99,0.29353372010155987,18362.873641129747,False,True,2
wanju,2026-11,10528.338584682404,3514.777412394399,31537.10757410378,27.99,0.07427903438989225,18362.873641129747,False,True,3
wanju,2026-12,9264.609118575569,2610.0940340659295,32885.0152522227,27.99,0.037806585789893044,18362.873641129747,False,True,4
wanju,2027-01,11459.803245675674,2780.144332393361,47237.5081032366,27.99,0.11038610248046754,18362.873641129747,False,True,5
wanju,2027-02,9273.406012568552,1965.2609700347527,43758.0862720852,27.99,0.03800989552400491,18362.873641129747,False,True,6
wanju,2027-03,8631.810344747231,1615.4522951336867,46122.160370894395,27.99,0.024970878682467168,18362.873641129747,False,True,7
wanju,2027-04,8877.107453439225,1479.8314818387157,53251.358487111065,27.99,0.02953386659496804,18362.873641129747,False,True,8
wanju,2027-05,9560.325812106144,1429.6057059205375,63933.59319643296,27.99,0.045025676397408176,18362.873641129747,False,True,9
wanju,2027-06,10400.544197722835,1403.3287306365478,77081.95324962796,27.99,0.06992366295221175,18362.873641129747,False,True,10
wanju,2027-07,15725.32989495424,1924.1745426276113,128515.3684485676,27.99,0.34358603353949846,18362.873641129747,False,True,11
wanju,2027-08,15717.831038512173,1751.7357093127187,141031.67004122163,27.99,0.3431304483419372,18362.873641129747,False,True,12
wanju,2027-09,18092.220242898133,1843.5591926370316,177552.4402063389,27.99,0.48461922464815466,18362.873641129747,False,False,13
wanju,2027-10,14099.190080706496,1318.0095953518578,150823.75851658647,27.99,0.24630002210159163,18362.873641129747,False,False,14
wanju,2027-11,10502.528323377797,903.4256235022922,122094.28016414124,27.99,0.07338743072114595,18362.873641129747,False,False,15
wanju,2027-12,9346.36159397599,741.8236680006044,117756.38714897167,27.99,0.039722916009046316,18362.873641129747,False,False,16
namwon,2026-09,20302.562227768714,12130.093937720601,33981.108071276605,28.58,0.6738198974166906,17631.688609436165,True,True,1
namwon,2026-10,16894.431132645,8154.603092775447,35001.3115351443,28.58,0.44574469842073106,17631.688609436165,False,True,2
